code,year,population_total
ABW,1800,19286
ABW,1801,19286
ABW,1802,19286
ABW,1803,19286
ABW,1804,19286
ABW,1805,19286
ABW,1806,19286
ABW,1807,19286
ABW,1808,19286
ABW,1809,19286
ABW,1810,19286
ABW,1811,19286
ABW,1812,19286
ABW,1813,19286
ABW,1814,19286
ABW,1815,19286
ABW,1816,19286
ABW,1817,19286
ABW,1818,19286
ABW,1819,19286
ABW,1820,19286
ABW,1821,19387
ABW,1822,19489
ABW,1823,19591
ABW,1824,19694
ABW,1825,19797
ABW,1826,19901
ABW,1827,20005
ABW,1828,20110
ABW,1829,20216
ABW,1830,20322
ABW,1831,20428
ABW,1832,20535
ABW,1833,20643
ABW,1834,20751
ABW,1835,20860
ABW,1836,20969
ABW,1837,21079
ABW,1838,21190
ABW,1839,21301
ABW,1840,21413
ABW,1841,21525
ABW,1842,21638
ABW,1843,21751
ABW,1844,21865
ABW,1845,21980
ABW,1846,22095
ABW,1847,22211
ABW,1848,22328
ABW,1849,22445
ABW,1850,22562
ABW,1851,22681
ABW,1852,22800
ABW,1853,22919
ABW,1854,23040
ABW,1855,23160
ABW,1856,23282
ABW,1857,23404
ABW,1858,23527
ABW,1859,23650
ABW,1860,23774
ABW,1861,23899
ABW,1862,24024
ABW,1863,24150
ABW,1864,24277
ABW,1865,24404
ABW,1866,24532
ABW,1867,24661
ABW,1868,24790
ABW,1869,24920
ABW,1870,25051
ABW,1871,25182
ABW,1872,25314
ABW,1873,25447
ABW,1874,25580
ABW,1875,25714
ABW,1876,25849
ABW,1877,25985
ABW,1878,26121
ABW,1879,26258
ABW,1880,26396
ABW,1881,26534
ABW,1882,26673
ABW,1883,26813
ABW,1884,26954
ABW,1885,27095
ABW,1886,27237
ABW,1887,27380
ABW,1888,27524
ABW,1889,27668
ABW,1890,27813
ABW,1891,27959
ABW,1892,28105
ABW,1893,28253
ABW,1894,28401
ABW,1895,28550
ABW,1896,28700
ABW,1897,28850
ABW,1898,29001
ABW,1899,29154
ABW,1900,29306
ABW,1901,29460
ABW,1902,29615
ABW,1903,29770
ABW,1904,29926
ABW,1905,30083
ABW,1906,30241
ABW,1907,30399
ABW,1908,30559
ABW,1909,30719
ABW,1910,30880
ABW,1911,31042
ABW,1912,31205
ABW,1913,31368
ABW,1914,31533
ABW,1915,31698
ABW,1916,31864
ABW,1917,32032
ABW,1918,32200
ABW,1919,32368
ABW,1920,32538
ABW,1921,32709
ABW,1922,32880
ABW,1923,33053
ABW,1924,33226
ABW,1925,33400
ABW,1926,33575
ABW,1927,33751
ABW,1928,33928
ABW,1929,34106
ABW,1930,34285
ABW,1931,34465
ABW,1932,34646
ABW,1933,34827
ABW,1934,35010
ABW,1935,35194
ABW,1936,35378
ABW,1937,35564
ABW,1938,35750
ABW,1939,35938
ABW,1940,36126
ABW,1941,36316
ABW,1942,36506
ABW,1943,36698
ABW,1944,36890
ABW,1945,37083
ABW,1946,37278
ABW,1947,37473
ABW,1948,37670
ABW,1949,37867
ABW,1950,38066
ABW,1951,38263
ABW,1952,38965
ABW,1953,40149
ABW,1954,41763
ABW,1955,43727
ABW,1956,45933
ABW,1957,48242
ABW,1958,50499
ABW,1959,52535
ABW,1960,54208
ABW,1961,55435
ABW,1962,56226
ABW,1963,56697
ABW,1964,57029
ABW,1965,57360
ABW,1966,57712
ABW,1967,58049
ABW,1968,58385
ABW,1969,58724
ABW,1970,59065
ABW,1971,59438
ABW,1972,59849
ABW,1973,60239
ABW,1974,60525
ABW,1975,60655
ABW,1976,60589
ABW,1977,60366
ABW,1978,60106
ABW,1979,59978
ABW,1980,60096
ABW,1981,60567
ABW,1982,61344
ABW,1983,62204
ABW,1984,62831
ABW,1985,63028
ABW,1986,62644
ABW,1987,61835
ABW,1988,61077
ABW,1989,61032
ABW,1990,62148
ABW,1991,64623
ABW,1992,68235
ABW,1993,72498
ABW,1994,76700
ABW,1995,80326
ABW,1996,83195
ABW,1997,85447
ABW,1998,87276
ABW,1999,89004
ABW,2000,90858
ABW,2001,92894
ABW,2002,94995
ABW,2003,97015
ABW,2004,98742
ABW,2005,100031
ABW,2006,100830
ABW,2007,101218
ABW,2008,101342
ABW,2009,101416
ABW,2010,101597
ABW,2011,101936
ABW,2012,102393
ABW,2013,102921
ABW,2014,103441
ABW,2015,103889
ABW,2016,104263
ABW,2017,104588
ABW,2018,104876
ABW,2019,105142
ABW,2020,105397
ABW,2021,105643
ABW,2022,105876
ABW,2023,106093
ABW,2024,106297
ABW,2025,106483
ABW,2026,106654
ABW,2027,106806
ABW,2028,106937
ABW,2029,107042
ABW,2030,107116
ABW,2031,107158
ABW,2032,107167
ABW,2033,107141
ABW,2034,107077
ABW,2035,106972
ABW,2036,106827
ABW,2037,106642
ABW,2038,106417
ABW,2039,106153
ABW,2040,105851
ABW,2041,105513
ABW,2042,105142
ABW,2043,104740
ABW,2044,104316
ABW,2045,103875
ABW,2046,103419
ABW,2047,102950
ABW,2048,102476
ABW,2049,102002
ABW,2050,101533
ABW,2051,101072
ABW,2052,100621
ABW,2053,100184
ABW,2054,99762
ABW,2055,99357
ABW,2056,98971
ABW,2057,98604
ABW,2058,98253
ABW,2059,97918
ABW,2060,97597
ABW,2061,97287
ABW,2062,96989
ABW,2063,96700
ABW,2064,96418
ABW,2065,96140
ABW,2066,95865
ABW,2067,95593
ABW,2068,95318
ABW,2069,95042
ABW,2070,94760
ABW,2071,94472
ABW,2072,94177
ABW,2073,93874
ABW,2074,93562
ABW,2075,93242
ABW,2076,92912
ABW,2077,92574
ABW,2078,92226
ABW,2079,91869
ABW,2080,91503
ABW,2081,91128
ABW,2082,90746
ABW,2083,90358
ABW,2084,89964
ABW,2085,89568
ABW,2086,89171
ABW,2087,88771
ABW,2088,88373
ABW,2089,87976
ABW,2090,87583
ABW,2091,87195
ABW,2092,86811
ABW,2093,86434
ABW,2094,86062
ABW,2095,85699
ABW,2096,85343
ABW,2097,84995
ABW,2098,84657
ABW,2099,84329
ABW,2100,84011
AFG,1800,3280000
AFG,1801,3280000
AFG,1802,3280000
AFG,1803,3280000
AFG,1804,3280000
AFG,1805,3280000
AFG,1806,3280000
AFG,1807,3280000
AFG,1808,3280000
AFG,1809,3280000
AFG,1810,3280000
AFG,1811,3280000
AFG,1812,3280000
AFG,1813,3280000
AFG,1814,3280000
AFG,1815,3280000
AFG,1816,3280000
AFG,1817,3280000
AFG,1818,3280000
AFG,1819,3280000
AFG,1820,3280000
AFG,1821,3296369
AFG,1822,3312820
AFG,1823,3329352
AFG,1824,3345968
AFG,1825,3362666
AFG,1826,3379447
AFG,1827,3396313
AFG,1828,3413262
AFG,1829,3430296
AFG,1830,3447415
AFG,1831,3464620
AFG,1832,3481910
AFG,1833,3499286
AFG,1834,3516750
AFG,1835,3534300
AFG,1836,3551938
AFG,1837,3569664
AFG,1838,3587479
AFG,1839,3605382
AFG,1840,3623375
AFG,1841,3641458
AFG,1842,3659631
AFG,1843,3677894
AFG,1844,3696249
AFG,1845,3714695
AFG,1846,3733233
AFG,1847,3751864
AFG,1848,3770588
AFG,1849,3789405
AFG,1850,3808317
AFG,1851,3827322
AFG,1852,3846423
AFG,1853,3865618
AFG,1854,3884910
AFG,1855,3904298
AFG,1856,3923782
AFG,1857,3943364
AFG,1858,3963043
AFG,1859,3982821
AFG,1860,4002698
AFG,1861,4022673
AFG,1862,4042748
AFG,1863,4062924
AFG,1864,4083200
AFG,1865,4103578
AFG,1866,4124057
AFG,1867,4144638
AFG,1868,4165322
AFG,1869,4186109
AFG,1870,4207000
AFG,1871,4237337
AFG,1872,4267893
AFG,1873,4298669
AFG,1874,4329668
AFG,1875,4360890
AFG,1876,4392336
AFG,1877,4424010
AFG,1878,4455912
AFG,1879,4488044
AFG,1880,4520408
AFG,1881,4553005
AFG,1882,4585838
AFG,1883,4618907
AFG,1884,4652214
AFG,1885,4685762
AFG,1886,4719552
AFG,1887,4753585
AFG,1888,4787864
AFG,1889,4822389
AFG,1890,4857164
AFG,1891,4892190
AFG,1892,4927468
AFG,1893,4963001
AFG,1894,4998790
AFG,1895,5034836
AFG,1896,5071143
AFG,1897,5107712
AFG,1898,5144544
AFG,1899,5181642
AFG,1900,5219008
AFG,1901,5256643
AFG,1902,5294549
AFG,1903,5332729
AFG,1904,5371184
AFG,1905,5409916
AFG,1906,5448927
AFG,1907,5488220
AFG,1908,5527797
AFG,1909,5567658
AFG,1910,5607807
AFG,1911,5648246
AFG,1912,5688976
AFG,1913,5730000
AFG,1914,5784848
AFG,1915,5840220
AFG,1916,5896123
AFG,1917,5952561
AFG,1918,6009539
AFG,1919,6067063
AFG,1920,6125137
AFG,1921,6183767
AFG,1922,6242958
AFG,1923,6302716
AFG,1924,6363046
AFG,1925,6423953
AFG,1926,6485443
AFG,1927,6547522
AFG,1928,6610195
AFG,1929,6673468
AFG,1930,6737347
AFG,1931,6801837
AFG,1932,6866944
AFG,1933,6932675
AFG,1934,6999035
AFG,1935,7066030
AFG,1936,7133666
AFG,1937,7201950
AFG,1938,7270887
AFG,1939,7340484
AFG,1940,7410748
AFG,1941,7481684
AFG,1942,7553298
AFG,1943,7625599
AFG,1944,7698591
AFG,1945,7772283
AFG,1946,7846679
AFG,1947,7921788
AFG,1948,7997615
AFG,1949,8074169
AFG,1950,7752118
AFG,1951,7839426
AFG,1952,7934798
AFG,1953,8038312
AFG,1954,8150037
AFG,1955,8270024
AFG,1956,8398309
AFG,1957,8534913
AFG,1958,8679848
AFG,1959,8833127
AFG,1960,8994793
AFG,1961,9164945
AFG,1962,9343772
AFG,1963,9531555
AFG,1964,9728645
AFG,1965,9935358
AFG,1966,10148841
AFG,1967,10368600
AFG,1968,10599790
AFG,1969,10849510
AFG,1970,11121097
AFG,1971,11412821
AFG,1972,11716896
AFG,1973,12022514
AFG,1974,12315553
AFG,1975,12582954
AFG,1976,12831361
AFG,1977,13056499
AFG,1978,13222547
AFG,1979,13283279
AFG,1980,13211412
AFG,1981,12996923
AFG,1982,12667001
AFG,1983,12279095
AFG,1984,11912510
AFG,1985,11630498
AFG,1986,11438949
AFG,1987,11337932
AFG,1988,11375768
AFG,1989,11608351
AFG,1990,12067570
AFG,1991,12789374
AFG,1992,13745630
AFG,1993,14824371
AFG,1994,15869967
AFG,1995,16772522
AFG,1996,17481800
AFG,1997,18034130
AFG,1998,18511480
AFG,1999,19038420
AFG,2000,19701940
AFG,2001,20531160
AFG,2002,21487079
AFG,2003,22507368
AFG,2004,23499850
AFG,2005,24399948
AFG,2006,25183615
AFG,2007,25877544
AFG,2008,26528741
AFG,2009,27207291
AFG,2010,27962207
AFG,2011,28809167
AFG,2012,29726803
AFG,2013,30682500
AFG,2014,31627506
AFG,2015,32526562
AFG,2016,33369945
AFG,2017,34169169
AFG,2018,34935713
AFG,2019,35688822
AFG,2020,36442719
AFG,2021,37199253
AFG,2022,37953559
AFG,2023,38705458
AFG,2024,39453556
AFG,2025,40196823
AFG,2026,40935678
AFG,2027,41670973
AFG,2028,42402410
AFG,2029,43129471
AFG,2030,43851554
AFG,2031,44568390
AFG,2032,45279376
AFG,2033,45983095
AFG,2034,46677790
AFG,2035,47361985
AFG,2036,48034819
AFG,2037,48695807
AFG,2038,49344314
AFG,2039,49979812
AFG,2040,50601765
AFG,2041,51209653
AFG,2042,51802861
AFG,2043,52380692
AFG,2044,52942418
AFG,2045,53487461
AFG,2046,54015394
AFG,2047,54526046
AFG,2048,55019461
AFG,2049,55495846
AFG,2050,55955350
AFG,2051,56397823
AFG,2052,56823117
AFG,2053,57231404
AFG,2054,57622940
AFG,2055,57997873
AFG,2056,58356192
AFG,2057,58697719
AFG,2058,59022224
AFG,2059,59329399
AFG,2060,59618969
AFG,2061,59890819
AFG,2062,60144833
AFG,2063,60380727
AFG,2064,60598175
AFG,2065,60796915
AFG,2066,60976837
AFG,2067,61137886
AFG,2068,61279947
AFG,2069,61402918
AFG,2070,61506752
AFG,2071,61591561
AFG,2072,61657445
AFG,2073,61704371
AFG,2074,61732290
AFG,2075,61741300
AFG,2076,61731612
AFG,2077,61703699
AFG,2078,61658276
AFG,2079,61596232
AFG,2080,61518389
AFG,2081,61425333
AFG,2082,61317568
AFG,2083,61195750
AFG,2084,61060556
AFG,2085,60912665
AFG,2086,60752711
AFG,2087,60581368
AFG,2088,60399408
AFG,2089,60207640
AFG,2090,60006832
AFG,2091,59797670
AFG,2092,59580777
AFG,2093,59356736
AFG,2094,59126113
AFG,2095,58889487
AFG,2096,58647456
AFG,2097,58400644
AFG,2098,58149698
AFG,2099,57895292
AFG,2100,57638127
AGO,1800,1567028
AGO,1801,1567028
AGO,1802,1567028
AGO,1803,1567028
AGO,1804,1567028
AGO,1805,1567028
AGO,1806,1567028
AGO,1807,1567028
AGO,1808,1567028
AGO,1809,1567028
AGO,1810,1567028
AGO,1811,1567028
AGO,1812,1567028
AGO,1813,1567028
AGO,1814,1567028
AGO,1815,1567028
AGO,1816,1567028
AGO,1817,1567028
AGO,1818,1567028
AGO,1819,1567028
AGO,1820,1567028
AGO,1821,1578422
AGO,1822,1589899
AGO,1823,1601459
AGO,1824,1613103
AGO,1825,1624832
AGO,1826,1636646
AGO,1827,1648547
AGO,1828,1660533
AGO,1829,1672607
AGO,1830,1684769
AGO,1831,1697019
AGO,1832,1709358
AGO,1833,1721787
AGO,1834,1734306
AGO,1835,1746916
AGO,1836,1759618
AGO,1837,1772412
AGO,1838,1785300
AGO,1839,1798281
AGO,1840,1811356
AGO,1841,1824527
AGO,1842,1837793
AGO,1843,1851156
AGO,1844,1864615
AGO,1845,1878173
AGO,1846,1891829
AGO,1847,1905585
AGO,1848,1919441
AGO,1849,1933397
AGO,1850,1947455
AGO,1851,1961615
AGO,1852,1975878
AGO,1853,1990245
AGO,1854,2004716
AGO,1855,2019292
AGO,1856,2033975
AGO,1857,2048764
AGO,1858,2063660
AGO,1859,2078665
AGO,1860,2093779
AGO,1861,2109003
AGO,1862,2124338
AGO,1863,2139784
AGO,1864,2155343
AGO,1865,2171014
AGO,1866,2186800
AGO,1867,2202700
AGO,1868,2218716
AGO,1869,2234849
AGO,1870,2251098
AGO,1871,2267466
AGO,1872,2283953
AGO,1873,2300560
AGO,1874,2317287
AGO,1875,2334137
AGO,1876,2351108
AGO,1877,2368203
AGO,1878,2385423
AGO,1879,2402767
AGO,1880,2420238
AGO,1881,2437835
AGO,1882,2455561
AGO,1883,2473416
AGO,1884,2491400
AGO,1885,2509515
AGO,1886,2527762
AGO,1887,2546141
AGO,1888,2564654
AGO,1889,2583302
AGO,1890,2602086
AGO,1891,2621005
AGO,1892,2640063
AGO,1893,2659259
AGO,1894,2678595
AGO,1895,2698071
AGO,1896,2717689
AGO,1897,2737449
AGO,1898,2757353
AGO,1899,2777402
AGO,1900,2797597
AGO,1901,2817938
AGO,1902,2838428
AGO,1903,2859066
AGO,1904,2879854
AGO,1905,2900794
AGO,1906,2921886
AGO,1907,2943131
AGO,1908,2964531
AGO,1909,2986086
AGO,1910,3007798
AGO,1911,3029668
AGO,1912,3051697
AGO,1913,3073886
AGO,1914,3096236
AGO,1915,3118749
AGO,1916,3141426
AGO,1917,3164267
AGO,1918,3187275
AGO,1919,3210450
AGO,1920,3233793
AGO,1921,3257306
AGO,1922,3280990
AGO,1923,3304846
AGO,1924,3328876
AGO,1925,3353080
AGO,1926,3377461
AGO,1927,3402019
AGO,1928,3426755
AGO,1929,3451671
AGO,1930,3476768
AGO,1931,3502048
AGO,1932,3527512
AGO,1933,3553160
AGO,1934,3578996
AGO,1935,3605019
AGO,1936,3631231
AGO,1937,3657634
AGO,1938,3684229
AGO,1939,3711017
AGO,1940,3738000
AGO,1941,3777062
AGO,1942,3816532
AGO,1943,3856415
AGO,1944,3896714
AGO,1945,3937434
AGO,1946,3978580
AGO,1947,4020156
AGO,1948,4062167
AGO,1949,4104616
AGO,1950,4354882
AGO,1951,4439705
AGO,1952,4529381
AGO,1953,4621691
AGO,1954,4714970
AGO,1955,4808114
AGO,1956,4900594
AGO,1957,4992439
AGO,1958,5084166
AGO,1959,5176662
AGO,1960,5270844
AGO,1961,5367287
AGO,1962,5465905
AGO,1963,5565808
AGO,1964,5665701
AGO,1965,5765025
AGO,1966,5863568
AGO,1967,5962831
AGO,1968,6066094
AGO,1969,6177703
AGO,1970,6300969
AGO,1971,6437645
AGO,1972,6587647
AGO,1973,6750215
AGO,1974,6923749
AGO,1975,7107334
AGO,1976,7299508
AGO,1977,7501320
AGO,1978,7717139
AGO,1979,7952882
AGO,1980,8211950
AGO,1981,8497950
AGO,1982,8807511
AGO,1983,9128655
AGO,1984,9444918
AGO,1985,9745209
AGO,1986,10023700
AGO,1987,10285712
AGO,1988,10544904
AGO,1989,10820992
AGO,1990,11127870
AGO,1991,11472173
AGO,1992,11848971
AGO,1993,12246786
AGO,1994,12648483
AGO,1995,13042666
AGO,1996,13424813
AGO,1997,13801868
AGO,1998,14187710
AGO,1999,14601983
AGO,2000,15058638
AGO,2001,15562791
AGO,2002,16109696
AGO,2003,16691395
AGO,2004,17295500
AGO,2005,17912942
AGO,2006,18541467
AGO,2007,19183907
AGO,2008,19842251
AGO,2009,20520103
AGO,2010,21219954
AGO,2011,21942296
AGO,2012,22685632
AGO,2013,23448202
AGO,2014,24227524
AGO,2015,25021974
AGO,2016,25830958
AGO,2017,26655513
AGO,2018,27497645
AGO,2019,28360201
AGO,2020,29245334
AGO,2021,30153703
AGO,2022,31085008
AGO,2023,32039277
AGO,2024,33016254
AGO,2025,34015730
AGO,2026,35037743
AGO,2027,36082419
AGO,2028,37149673
AGO,2029,38239365
AGO,2030,39351269
AGO,2031,40485214
AGO,2032,41640811
AGO,2033,42817321
AGO,2034,44013822
AGO,2035,45229516
AGO,2036,46463877
AGO,2037,47716565
AGO,2038,48987191
AGO,2039,50275420
AGO,2040,51580876
AGO,2041,52903133
AGO,2042,54241675
AGO,2043,55595940
AGO,2044,56965322
AGO,2045,58349269
AGO,2046,59747226
AGO,2047,61158793
AGO,2048,62583747
AGO,2049,64021967
AGO,2050,65473207
AGO,2051,66936994
AGO,2052,68412690
AGO,2053,69899659
AGO,2054,71397202
AGO,2055,72904609
AGO,2056,74421266
AGO,2057,75946512
AGO,2058,77479509
AGO,2059,79019356
AGO,2060,80565198
AGO,2061,82116265
AGO,2062,83671869
AGO,2063,85231327
AGO,2064,86793981
AGO,2065,88359147
AGO,2066,89926080
AGO,2067,91493993
AGO,2068,93062100
AGO,2069,94629593
AGO,2070,96195674
AGO,2071,97759558
AGO,2072,99320466
AGO,2073,100877600
AGO,2074,102430153
AGO,2075,103977320
AGO,2076,105518373
AGO,2077,107052522
AGO,2078,108578842
AGO,2079,110096352
AGO,2080,111604164
AGO,2081,113101441
AGO,2082,114587542
AGO,2083,116062026
AGO,2084,117524569
AGO,2085,118974739
AGO,2086,120411960
AGO,2087,121835430
AGO,2088,123244222
AGO,2089,124637298
AGO,2090,126013735
AGO,2091,127372804
AGO,2092,128713937
AGO,2093,130036675
AGO,2094,131340583
AGO,2095,132625192
AGO,2096,133889970
AGO,2097,135134315
AGO,2098,136357543
AGO,2099,137558899
AGO,2100,138737554
AIA,1800,2025
AIA,1801,2025
AIA,1802,2025
AIA,1803,2025
AIA,1804,2025
AIA,1805,2025
AIA,1806,2025
AIA,1807,2025
AIA,1808,2025
AIA,1809,2025
AIA,1810,2025
AIA,1811,2025
AIA,1812,2025
AIA,1813,2025
AIA,1814,2025
AIA,1815,2025
AIA,1816,2025
AIA,1817,2025
AIA,1818,2025
AIA,1819,2025
AIA,1820,2025
AIA,1821,2040
AIA,1822,2054
AIA,1823,2069
AIA,1824,2084
AIA,1825,2099
AIA,1826,2114
AIA,1827,2129
AIA,1828,2144
AIA,1829,2159
AIA,1830,2175
AIA,1831,2190
AIA,1832,2206
AIA,1833,2222
AIA,1834,2238
AIA,1835,2254
AIA,1836,2270
AIA,1837,2286
AIA,1838,2303
AIA,1839,2319
AIA,1840,2336
AIA,1841,2352
AIA,1842,2369
AIA,1843,2386
AIA,1844,2403
AIA,1845,2421
AIA,1846,2438
AIA,1847,2455
AIA,1848,2473
AIA,1849,2491
AIA,1850,2508
AIA,1851,2526
AIA,1852,2545
AIA,1853,2563
AIA,1854,2581
AIA,1855,2600
AIA,1856,2618
AIA,1857,2637
AIA,1858,2656
AIA,1859,2675
AIA,1860,2694
AIA,1861,2713
AIA,1862,2733
AIA,1863,2752
AIA,1864,2772
AIA,1865,2792
AIA,1866,2812
AIA,1867,2832
AIA,1868,2852
AIA,1869,2873
AIA,1870,2893
AIA,1871,2914
AIA,1872,2935
AIA,1873,2956
AIA,1874,2977
AIA,1875,2998
AIA,1876,3020
AIA,1877,3042
AIA,1878,3063
AIA,1879,3085
AIA,1880,3107
AIA,1881,3130
AIA,1882,3152
AIA,1883,3175
AIA,1884,3197
AIA,1885,3220
AIA,1886,3243
AIA,1887,3267
AIA,1888,3290
AIA,1889,3314
AIA,1890,3337
AIA,1891,3361
AIA,1892,3385
AIA,1893,3409
AIA,1894,3434
AIA,1895,3458
AIA,1896,3483
AIA,1897,3508
AIA,1898,3533
AIA,1899,3559
AIA,1900,3584
AIA,1901,3610
AIA,1902,3636
AIA,1903,3662
AIA,1904,3688
AIA,1905,3714
AIA,1906,3741
AIA,1907,3768
AIA,1908,3795
AIA,1909,3822
AIA,1910,3849
AIA,1911,3877
AIA,1912,3905
AIA,1913,3933
AIA,1914,3961
AIA,1915,3989
AIA,1916,4018
AIA,1917,4046
AIA,1918,4075
AIA,1919,4105
AIA,1920,4134
AIA,1921,4164
AIA,1922,4193
AIA,1923,4223
AIA,1924,4254
AIA,1925,4284
AIA,1926,4315
AIA,1927,4346
AIA,1928,4377
AIA,1929,4408
AIA,1930,4440
AIA,1931,4472
AIA,1932,4504
AIA,1933,4536
AIA,1934,4568
AIA,1935,4601
AIA,1936,4634
AIA,1937,4667
AIA,1938,4701
AIA,1939,4734
AIA,1940,4768
AIA,1941,4802
AIA,1942,4837
AIA,1943,4871
AIA,1944,4906
AIA,1945,4941
AIA,1946,4977
AIA,1947,5013
AIA,1948,5048
AIA,1949,5085
AIA,1950,5121
AIA,1951,5297
AIA,1952,5438
AIA,1953,5549
AIA,1954,5635
AIA,1955,5697
AIA,1956,5743
AIA,1957,5777
AIA,1958,5805
AIA,1959,5831
AIA,1960,5863
AIA,1961,5901
AIA,1962,5948
AIA,1963,6001
AIA,1964,6057
AIA,1965,6114
AIA,1966,6171
AIA,1967,6228
AIA,1968,6287
AIA,1969,6344
AIA,1970,6400
AIA,1971,6454
AIA,1972,6506
AIA,1973,6554
AIA,1974,6596
AIA,1975,6630
AIA,1976,6662
AIA,1977,6691
AIA,1978,6713
AIA,1979,6716
AIA,1980,6698
AIA,1981,6651
AIA,1982,6586
AIA,1983,6536
AIA,1984,6551
AIA,1985,6661
AIA,1986,6881
AIA,1987,7197
AIA,1988,7575
AIA,1989,7964
AIA,1990,8332
AIA,1991,8669
AIA,1992,8985
AIA,1993,9277
AIA,1994,9549
AIA,1995,9805
AIA,1996,10036
AIA,1997,10244
AIA,1998,10461
AIA,1999,10727
AIA,2000,11068
AIA,2001,11498
AIA,2002,12003
AIA,2003,12548
AIA,2004,13083
AIA,2005,13574
AIA,2006,14008
AIA,2007,14393
AIA,2008,14737
AIA,2009,15055
AIA,2010,15358
AIA,2011,15645
AIA,2012,15911
AIA,2013,16158
AIA,2014,16390
AIA,2015,16607
AIA,2016,16812
AIA,2017,17005
AIA,2018,17184
AIA,2019,17345
AIA,2020,17488
AIA,2021,17611
AIA,2022,17716
AIA,2023,17808
AIA,2024,17891
AIA,2025,17969
AIA,2026,18044
AIA,2027,18117
AIA,2028,18185
AIA,2029,18247
AIA,2030,18302
AIA,2031,18351
AIA,2032,18393
AIA,2033,18431
AIA,2034,18462
AIA,2035,18488
AIA,2036,18508
AIA,2037,18523
AIA,2038,18533
AIA,2039,18537
AIA,2040,18537
AIA,2041,18533
AIA,2042,18524
AIA,2043,18511
AIA,2044,18493
AIA,2045,18471
AIA,2046,18445
AIA,2047,18414
AIA,2048,18379
AIA,2049,18341
AIA,2050,18300
AIA,2051,18255
AIA,2052,18207
AIA,2053,18157
AIA,2054,18105
AIA,2055,18051
AIA,2056,17996
AIA,2057,17939
AIA,2058,17881
AIA,2059,17822
AIA,2060,17762
AIA,2061,17700
AIA,2062,17637
AIA,2063,17574
AIA,2064,17510
AIA,2065,17445
AIA,2066,17380
AIA,2067,17315
AIA,2068,17250
AIA,2069,17184
AIA,2070,17119
AIA,2071,17054
AIA,2072,16989
AIA,2073,16925
AIA,2074,16861
AIA,2075,16798
AIA,2076,16736
AIA,2077,16675
AIA,2078,16616
AIA,2079,16557
AIA,2080,16500
AIA,2081,16445
AIA,2082,16390
AIA,2083,16336
AIA,2084,16285
AIA,2085,16234
AIA,2086,16184
AIA,2087,16136
AIA,2088,16087
AIA,2089,16039
AIA,2090,15991
AIA,2091,15943
AIA,2092,15896
AIA,2093,15848
AIA,2094,15801
AIA,2095,15754
AIA,2096,15707
AIA,2097,15662
AIA,2098,15618
AIA,2099,15573
AIA,2100,15529
AKR_A_DHE,1800,3710
AKR_A_DHE,1801,3736
AKR_A_DHE,1802,3763
AKR_A_DHE,1803,3789
AKR_A_DHE,1804,3816
AKR_A_DHE,1805,3843
AKR_A_DHE,1806,3870
AKR_A_DHE,1807,3897
AKR_A_DHE,1808,3925
AKR_A_DHE,1809,3953
AKR_A_DHE,1810,3980
AKR_A_DHE,1811,4009
AKR_A_DHE,1812,4037
AKR_A_DHE,1813,4065
AKR_A_DHE,1814,4094
AKR_A_DHE,1815,4123
AKR_A_DHE,1816,4152
AKR_A_DHE,1817,4181
AKR_A_DHE,1818,4211
AKR_A_DHE,1819,4241
AKR_A_DHE,1820,4271
AKR_A_DHE,1821,4301
AKR_A_DHE,1822,4331
AKR_A_DHE,1823,4362
AKR_A_DHE,1824,4393
AKR_A_DHE,1825,4424
AKR_A_DHE,1826,4455
AKR_A_DHE,1827,4486
AKR_A_DHE,1828,4518
AKR_A_DHE,1829,4550
AKR_A_DHE,1830,4582
AKR_A_DHE,1831,4614
AKR_A_DHE,1832,4647
AKR_A_DHE,1833,4680
AKR_A_DHE,1834,4713
AKR_A_DHE,1835,4746
AKR_A_DHE,1836,4780
AKR_A_DHE,1837,4813
AKR_A_DHE,1838,4847
AKR_A_DHE,1839,4882
AKR_A_DHE,1840,4916
AKR_A_DHE,1841,4951
AKR_A_DHE,1842,4986
AKR_A_DHE,1843,5021
AKR_A_DHE,1844,5056
AKR_A_DHE,1845,5092
AKR_A_DHE,1846,5128
AKR_A_DHE,1847,5164
AKR_A_DHE,1848,5201
AKR_A_DHE,1849,5238
AKR_A_DHE,1850,5275
AKR_A_DHE,1851,5312
AKR_A_DHE,1852,5349
AKR_A_DHE,1853,5387
AKR_A_DHE,1854,5425
AKR_A_DHE,1855,5463
AKR_A_DHE,1856,5502
AKR_A_DHE,1857,5541
AKR_A_DHE,1858,5580
AKR_A_DHE,1859,5619
AKR_A_DHE,1860,5659
AKR_A_DHE,1861,5699
AKR_A_DHE,1862,5739
AKR_A_DHE,1863,5780
AKR_A_DHE,1864,5821
AKR_A_DHE,1865,5862
AKR_A_DHE,1866,5903
AKR_A_DHE,1867,5945
AKR_A_DHE,1868,5987
AKR_A_DHE,1869,6029
AKR_A_DHE,1870,6072
AKR_A_DHE,1871,6115
AKR_A_DHE,1872,6158
AKR_A_DHE,1873,6201
AKR_A_DHE,1874,6245
AKR_A_DHE,1875,6289
AKR_A_DHE,1876,6334
AKR_A_DHE,1877,6378
AKR_A_DHE,1878,6423
AKR_A_DHE,1879,6469
AKR_A_DHE,1880,6514
AKR_A_DHE,1881,6560
AKR_A_DHE,1882,6607
AKR_A_DHE,1883,6653
